,name,can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90,team_name,gameweek,season,data_retrieved_datetime,scout_risks
1112,Rio Ngumoha,True,True,,,611922.0,0.0,0.0,0.0,0.0,0.0,3.0,3.3,3.8,1.0,Rio,2.3,686.0,False,,,45.0,611922.jpg,3.5,False,Ngumoha,0.6,False,,a,12.0,14.0,7.0,77241.0,17573.0,30439.0,6887.0,0.5,1.6,Ngumoha,241.0,2024-12-17,2008-08-29,False,p611922,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,36.2,11.4,23.0,7.1,0.0,0.0,0.0,0.0,0.0,0.37,0.1,0.47,0.0,189.0,79.0,241.0,140.0,140.0,82.0,208.0,105.0,,,,,,,8.32,0.0,2.25,10.57,0.0,0.0,509.0,301.0,166.0,69.0,124.0,45.0,229.0,79.0,0.0,0.0,0.0,Liverpool,4.0,25-26,2025-09-19 19:07:10.579391,
1113,Nathan Aké,True,True,,,126184.0,0.0,0.0,-1.0,1.0,0.0,2.0,0.7,1.2,1.0,Nathan,0.7,405.0,False,,,54.0,126184.jpg,1.0,False,Aké,0.7,False,,a,13.0,43.0,2.0,14862.0,1993.0,35550.0,5156.0,0.1,0.4,Aké,152.0,2020-08-05,1995-02-18,False,p126184,69.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.2,9.8,5.0,3.0,4.0,2.0,1.0,5.0,0.0,0.14,0.12,0.26,1.12,276.0,105.0,263.0,87.0,270.0,85.0,318.0,107.0,,,,,,,0.18,0.0,0.16,0.34,1.46,2.61,175.0,22.0,322.0,110.0,357.0,129.0,215.0,76.0,0.0,0.0,6.52,Manchester City,4.0,25-26,2025-09-19 19:07:10.579391,
1114,Abdukodir Khusanov,True,True,100.0,100.0,578153.0,0.0,0.0,-1.0,1.0,0.0,2.0,3.0,3.5,8.0,Abdukodir,3.0,406.0,False,,2025-09-05T10:00:06.635523Z,54.0,578153.jpg,3.3,False,Khusanov,0.4,False,,a,13.0,43.0,10.0,14602.0,8673.0,22335.0,2021.0,0.6,1.9,Khusanov,231.0,2025-01-20,2004-02-29,False,p578153,182.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,37.6,4.4,0.0,4.2,12.0,6.0,7.0,19.0,2.0,0.0,0.02,0.02,2.78,177.0,72.0,298.0,100.0,704.0,241.0,277.0,93.0,,,,,,,0.0,0.0,0.01,0.01,1.37,0.49,216.0,30.0,120.0,53.0,140.0,59.0,267.0,97.0,0.99,0.49,9.4,Manchester City,4.0,25-26,2025-09-19 19:07:10.579391,
1115,Rúben dos Santos Gato Alves Dias,True,True,,,171314.0,0.0,0.0,0.0,0.0,0.0,2.0,2.7,3.2,6.0,Rúben,2.7,408.0,False,,,55.0,171314.jpg,3.5,False,dos Santos Gato Alves Dias,4.0,False,,a,13.0,43.0,14.0,141753.0,16235.0,142004.0,20098.0,0.5,2.5,Rúben,173.0,2020-09-29,1997-05-14,False,p171314,275.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,59.4,4.3,2.0,6.6,17.0,7.0,2.0,19.0,3.0,0.0,0.1,0.1,4.29,108.0,47.0,301.0,102.0,317.0,108.0,219.0,70.0,,,,,,,0.0,0.0,0.03,0.03,1.4,0.98,140.0,17.0,150.0,63.0,130.0,54.0,85.0,35.0,0.98,0.65,6.22,Manchester City,4.0,25-26,2025-09-19 19:07:10.579391,
1116,Nico O'Reilly,True,True,100.0,100.0,472769.0,0.0,0.0,-1.0,1.0,0.0,2.0,2.3,2.8,6.0,Nico,2.3,411.0,False,,2025-09-05T10:00:06.671127Z,49.0,472769.jpg,2.3,False,O'Reilly,0.2,False,,a,13.0,43.0,7.0,6143.0,3369.0,10259.0,966.0,0.5,1.4,O’Reilly,241.0,2022-12-16,2005-03-21,False,p472769,132.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,27.4,8.3,3.0,3.8,5.0,6.0,7.0,12.0,1.0,0.05,0.02,0.07,2.95,223.0,88.0,268.0,88.0,293.0,99.0,290.0,95.0,,,,,,,0.03,0.0,0.01,0.04,2.01,0.68,356.0,60.0,168.0,69.0,201.0,75.0,401.0,149.0,0.68,0.68,8.18,Manchester City,4.0,25-26,2025-09-19 19:07:10.579391,
1117,Phil Foden,True,True,100.0,100.0,209244.0,0.0,0.0,0.0,0.0,1.0,3.0,4.3,4.8,12.0,Phil,4.3,414.0,False,,2025-08-10T23:00:06.538510Z,80.0,209244.jpg,6.5,False,Foden,2.3,False,,a,13.0,43.0,13.0,127514.0,83281.0,91218.0,12271.0,0.5,1.6,Foden,241.0,2016-12-05,2000-05-28,False,p209244,105.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,45.0,46.2,30.8,35.0,11.2,1.0,14.0,1.0,16.0,1.0,0.46,0.05,0.51,1.87,143.0,50.0,119.0,82.0,94.0,56.0,130.0,71.0,3.0,,3.0,,,,0.39,0.0,0.04,0.43,1.6,0.0,14.0,9.0,77.0,28.0,21.0,4.0,119.0,40.0,0.86,0.86,13.71,Manchester City,4.0,25-26,2025-09-19 19:07:10.579391,
1118,Bernardo Mota Veiga de Carvalho e Silva,True,True,,,165809.0,0.0,0.0,-1.0,1.0,0.0,3.0,3.0,3.5,6.0,Bernardo,3.0,416.0,False,,,64.0,165809.jpg,3.0,False,Mota Veiga de Carvalho e Silva,0.6,False,,a,13.0,43.0,12.0,21461.0,4505.0,48482.0,4782.0,0.5,1.9,Bernardo,173.0,2017-07-01,1994-08-10,False,p165809,259.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,47.4,103.9,18.0,16.9,5.0,13.0,6.0,24.0,3.0,0.1,1.04,1.14,3.33,138.0,47.0,15.0,13.0,179.0,106.0,59.0,39.0,1.0,,,,,,0.03,0.0,0.36,0.39,1.16,0.35,63.0,43.0,126.0,49.0,166.0,67.0,218.0,75.0,1.04,0.69,8.34,Manchester City,4.0,25-26,2025-09-19 19:07:10.579391,
1119,Jérémy Doku,True,True,,,248875.0,0.0,0.0,-1.0,1.0,0.0,3.0,4.0,4.5,10.0,Jérémy,4.0,418.0,False,,,64.0,248875.jpg,3.8,False,Doku,1.5,False,,a,13.0,43.0,15.0,100848.0,75278.0,78695.0,10527.0,0.6,2.3,Doku,21.0,2023-08-24,2002-05-27,False,p248875,195.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42.0,46.8,90.5,24.0,16.0,1.0,5.0,0.0,6.0,2.0,0.0,1.03,1.03,2.21,139.0,48.0,19.0,17.0,138.0,81.0,68.0,43.0,,,,,3.0,,0.0,0.0,0.48,0.48,1.02,0.46,67.0,46.0,89.0,33.0,116.0,43.0,147.0,50.0,0.92,0.92,2.77,Manchester City,4.0,25-26,2025-09-19 19:07:10.579391,
1120,Rodrigo 'Rodri' Hernandez Cascante,True,True,100.0,100.0,220566.0,0.0,0.0,-1.0,1.0,0.0,3.0,2.0,2.5,3.0,Rodrigo 'Rodri',2.0,421.0,False,,2025-08-10T23:00:06.551720Z,64.0,220566.jpg,2.0,False,Hernandez Cascante,0.7,False,,a,13.0,43.0,6.0,26814.0,6219.0,38858.0,5515.0,0.3,0.9,Rodrigo,200.0,2019-07-04,1996-06-22,False,p220566,180.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,24.8,32.6,18.0,7.5,1.0,17.0,4.0,22.0,2.0,0.08,0.2,0.28,2.8,233.0,101.0,108.0,76.0,180.0,107.0,201.0,99.0,,,,,,,0.04,0.0,0.1,0.14,1.4,1.0,64.0,44.0,195.0,91.0,248.0,122.0,216.0,74.0,1.0,0.5,11.0,Manchester City,4.0,25-26,2025-09-19 19:07:10.579391,
1121,Nico González Iglesias,True,True,,,465694.0,0.0,0.0,0.0,0.0,0.0,3.0,0.7,1.2,1.0,Nico,0.7,423.0,False,,,60.0,465694.jpg,1.7,False,González Iglesias,0.1,False,,a,13.0,43.0,5.0,5156.0,740.0,6833.0,1118.0,0.1,0.8,N.Gonzalez,200.0,2025-02-03,2002-01-03,False,p465694,178.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,47.0,44.4,12.4,6.0,6.2,9.0,7.0,6.0,22.0,2.0,0.05,0.07,0.12,2.68,150.0,54.0,231.0,137.0,262.0,144.0,232.0,117.0,,,,,,,0.03,0.0,0.04,0.07,1.36,1.01,90.0,60.0,335.0,164.0,266.0,130.0,497.0,171.0,1.01,0.51,11.12,Manchester City,4.0,25-26,2025-09-19 19:07:10.579391,
1122,Oscar Bobb,True,True,,,477555.0,0.0,0.0,0.0,0.0,0.0,3.0,1.7,2.2,1.0,Oscar,1.7,424.0,False,,,55.0,477555.jpg,2.8,False,Bobb,0.5,False,,a,13.0,43.0,11.0,71354.0,2194.0,43341.0,10100.0,0.3,2.0,Bobb,161.0,2022-01-06,2003-07-12,False,p477555,257.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,42.6,76.8,42.0,16.2,1.0,11.0,4.0,16.0,3.0,0.3,0.51,0.81,3.7,158.0,59.0,35.0,30.0,78.0,48.0,65.0,41.0,,,,,,,0.11,0.0,0.18,0.29,1.3,1.4,161.0,100.0,218.0,105.0,174.0,74.0,241.0,83.0,1.05,0.35,5.6,Manchester City,4.0,25-26,2025-09-19 19:07:10.579391,
1123,Tijjani Reijnders,True,True,,,433036.0,0.0,0.0,2.0,-2.0,1.0,3.0,2.3,2.8,3.0,Tijjani,2.3,427.0,False,,,57.0,433036.jpg,4.2,False,Reijnders,30.6,False,,a,13.0,43.0,17.0,2026282.0,89501.0,913790.0,220792.0,0.4,3.0,Reijnders,152.0,2025-06-10,1998-07-29,False,p433036,360.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,69.0,75.0,80.4,58.0,21.4,5.0,11.0,4.0,20.0,4.0,0.61,0.32,0.93,5.48,74.0,24.0,30.0,27.0,51.0,30.0,33.0,24.0,,,,,,,0.15,0.0,0.08,0.23,1.37,1.0,122.0,81.0,176.0,78.0,83.0,30.0,8.0,4.0,1.0,0.5,5.0,Manchester City,4.0,25-26,2025-09-19 19:07:10.579391,
1124,Erling Haaland,True,True,,,223094.0,1.0,-1.0,2.0,-2.0,2.0,4.0,8.0,8.5,13.0,Erling,8.0,430.0,True,,,142.0,223094.jpg,9.2,False,Haaland,36.5,False,,a,13.0,43.0,37.0,1614523.0,366365.0,511032.0,48209.0,0.6,2.6,Haaland,161.0,2022-07-01,2000-07-21,False,p223094,338.0,5.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,147.0,168.6,28.8,252.0,45.0,7.0,7.0,1.0,15.0,4.0,5.66,0.31,5.97,5.18,1.0,1.0,130.0,12.0,1.0,1.0,1.0,1.0,,,5.0,,1.0,,1.51,0.0,0.08,1.59,1.38,1.07,2.0,1.0,8.0,3.0,1.0,1.0,4.0,2.0,1.07,0.53,3.99,Manchester City,4.0,25-26,2025-09-19 19:07:10.579391,
1125,Bryan Mbeumo,True,True,,,446008.0,0.0,0.0,1.0,-1.0,0.0,3.0,4.2,4.2,2.0,Bryan,4.7,119.0,False,,,81.0,446008.jpg,4.0,False,Mbeumo,15.5,False,,a,14.0,1.0,16.0,890767.0,72635.0,677276.0,152920.0,0.6,2.0,Mbeumo,38.0,2025-07-21,1999-08-07,False,p446008,360.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,65.0,67.2,159.0,148.0,37.4,1.0,10.0,0.0,11.0,4.0,1.76,1.19,2.95,6.79,95.0,32.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,,2.0,,,,0.44,0.0,0.3,0.74,1.7,1.75,13.0,8.0,63.0,22.0,103.0,39.0,25.0,10.0,1.0,0.0,2.75,Manchester Utd,4.0,25-26,2025-09-19 19:07:10.579391,
1126,Altay Bayındır,True,True,,,451302.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,1.2,2.0,Altay,1.7,431.0,False,,,50.0,451302.jpg,1.8,False,Bayındır,0.4,False,,a,14.0,1.0,7.0,17478.0,706.0,25118.0,3257.0,0.3,1.4,Bayindir,219.0,2023-09-01,1998-04-14,False,p451302,360.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,34.0,70.2,10.0,0.0,8.0,2.0,32.0,0.0,0.0,4.0,0.0,0.04,0.04,6.79,89.0,14.0,258.0,4.0,663.0,79.0,185.0,11.0,,,,,,,0.0,2.0,0.01,0.01,1.7,1.75,278.0,13.0,215.0,19.0,258.0,23.0,261.0,36.0,1.0,0.0,0.0,Manchester Utd,4.0,25-26,2025-09-19 19:07:10.579391,
1127,Matthijs de Ligt,True,True,,,209365.0,0.0,0.0,0.0,0.0,0.0,2.0,2.5,2.5,1.0,Matthijs,3.0,436.0,False,,,50.0,209365.jpg,3.2,False,de Ligt,2.8,False,,a,14.0,1.0,13.0,155485.0,5877.0,135603.0,27600.0,0.6,2.6,De Ligt,152.0,2024-08-13,1999-08-12,False,p209365,360.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,50.0,87.4,17.2,31.0,13.5,26.0,14.0,8.0,34.0,4.0,0.31,0.07,0.38,6.79,50.0,20.0,198.0,56.0,105.0,16.0,91.0,23.0,,,,,,,0.08,0.0,0.02,0.1,1.7,1.75,258.0,39.0,117.0,52.0,149.0,64.0,110.0,45.0,1.0,0.0,8.5,Manchester Utd,4.0,25-26,2025-09-19 19:07:10.579391,
1128,Noussair Mazraoui,True,True,100.0,100.0,230001.0,0.0,0.0,-1.0,1.0,0.0,2.0,0.2,0.2,1.0,Noussair,0.7,438.0,False,,2025-08-10T23:00:06.590223Z,49.0,230001.jpg,1.0,False,Mazraoui,0.2,False,,a,14.0,1.0,2.0,5133.0,1986.0,19622.0,1464.0,0.1,0.4,Mazraoui,145.0,2024-08-13,1997-11-14,False,p230001,66.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.2,3.0,4.0,2.0,3.0,5.0,4.0,7.0,1.0,0.0,0.03,0.03,1.46,293.0,111.0,313.0,108.0,281.0,95.0,338.0,117.0,,,,,,,0.0,0.0,0.04,0.04,1.99,2.73,338.0,58.0,313.0,106.0,337.0,124.0,359.0,127.0,1.36,0.0,9.55,Manchester Utd,4.0,25-26,2025-09-19 19:07:10.579391,
1129,Patrick Dorgu,True,True,,,596777.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.5,1.0,Patrick,1.0,441.0,False,,,45.0,596777.jpg,1.3,False,Dorgu,5.7,False,,a,14.0,1.0,4.0,349522.0,5027.0,417718.0,60710.0,0.2,0.9,Dorgu,58.0,2025-02-02,2004-10-26,False,p596777,270.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,34.2,56.2,42.0,13.2,7.0,6.0,8.0,15.0,3.0,0.24,0.16,0.4,5.59,196.0,77.0,65.0,13.0,77.0,8.0,98.0,25.0,,,,,,,0.08,0.0,0.05,0.13,1.86,1.67,502.0,112.0,261.0,92.0,285.0,98.0,64.0,25.0,1.0,0.0,5.0,Manchester Utd,4.0,25-26,2025-09-19 19:07:10.579391,
1130,Harry Maguire,True,True,,,95658.0,0.0,0.0,-1.0,1.0,0.0,2.0,0.2,0.2,1.0,Harry,0.7,442.0,False,,,44.0,95658.jpg,1.0,False,Maguire,0.6,False,,a,14.0,1.0,3.0,13884.0,1965.0,35535.0,5174.0,0.2,0.7,Maguire,241.0,2019-08-05,1993-03-05,False,p95658,41.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.8,4.0,1.0,5.0,1.0,0.0,5.0,0.0,0.1,0.0,0.1,1.3,342.0,129.0,343.0,123.0,272.0,87.0,358.0,126.0,,,,,,,0.22,0.0,0.0,0.22,2.85,2.2,523.0,118.0,299.0,97.0,311.0,110.0,224.0,82.0,0.0,0.0,10.98,Manchester Utd,4.0,25-26,2025-09-19 19:07:10.579391,
1131,Luke Shaw,True,True,,,106760.0,0.0,0.0,0.0,0.0,0.0,2.0,0.8,0.8,1.0,Luke,1.3,443.0,False,,,45.0,106760.jpg,1.5,False,Shaw,0.3,False,,a,14.0,1.0,6.0,14537.0,1057.0,14314.0,2603.0,0.3,1.3,Shaw,241.0,2014-07-01,1995-07-12,False,p106760,345.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,42.4,22.8,0.0,6.5,7.0,13.0,8.0,15.0,4.0,0.0,0.1,0.1,6.55,159.0,68.0,158.0,41.0,519.0,211.0,221.0,72.0,3.0,,,,,,0.0,0.0,0.03,0.03,1.71,1.83,396.0,74.0,227.0,82.0,273.0,94.0,311.0,111.0,1.04,0.0,3.91,Manchester Utd,4.0,25-26,2025-09-19 19:07:10.579391,
1132,Leny Yoro,True,True,,,550864.0,0.0,0.0,0.0,0.0,0.0,2.0,2.2,2.2,1.0,Leny,2.7,444.0,False,,,45.0,550864.jpg,3.0,False,Yoro,2.3,False,,a,14.0,1.0,12.0,144654.0,5846.0,105407.0,21138.0,0.6,2.7,Yoro,73.0,2024-07-19,2005-11-13,False,p550864,321.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,41.6,19.3,15.0,7.5,21.0,11.0,5.0,26.0,4.0,0.27,0.04,0.31,5.7,161.0,69.0,185.0,51.0,193.0,46.0,200.0,66.0,,,,,,,0.08,0.0,0.01,0.09,1.6,1.68,476.0,108.0,137.0,61.0,155.0,67.0,117.0,47.0,1.12,0.0,7.29,Manchester Utd,4.0,25-26,2025-09-19 19:07:10.579391,
1133,Bruno Borges Fernandes,True,True,,,141746.0,0.0,0.0,0.0,0.0,0.0,3.0,4.2,4.2,2.0,Bruno,4.7,449.0,False,,,90.0,141746.jpg,4.0,False,Borges Fernandes,19.0,False,,a,14.0,1.0,16.0,671163.0,36693.0,982176.0,220300.0,0.5,1.8,B.Fernandes,173.0,2020-01-30,1994-09-08,False,p141746,360.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,87.0,121.2,202.0,50.0,37.4,9.0,27.0,10.0,46.0,4.0,1.91,0.91,2.82,6.79,14.0,7.0,1.0,1.0,62.0,38.0,4.0,3.0,1.0,,1.0,,1.0,,0.48,0.0,0.23,0.71,1.7,1.75,6.0,4.0,64.0,23.0,104.0,40.0,21.0,7.0,1.0,0.0,11.5,Manchester Utd,4.0,25-26,2025-09-19 19:07:10.579391,
1134,Amad Diallo,True,True,,,493250.0,-1.0,1.0,-2.0,2.0,0.0,3.0,2.2,2.2,2.0,Amad,2.7,452.0,False,,,63.0,493250.jpg,2.2,False,Diallo,1.7,False,,a,14.0,1.0,9.0,37377.0,4727.0,169308.0,21058.0,0.4,1.4,Amad,54.0,2021-01-07,2002-07-11,False,p493250,266.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,50.6,70.0,83.0,20.4,5.0,13.0,8.0,26.0,3.0,0.87,0.69,1.56,4.89,130.0,44.0,46.0,40.0,22.0,11.0,38.0,27.0,4.0,,,,,,0.29,0.0,0.23,0.52,1.65,1.69,79.0,55.0,154.0,62.0,217.0,100.0,134.0,45.0,1.02,0.0,8.8,Manchester Utd,4.0,25-26,2025-09-19 19:07:10.579391,
1135,Carlos Henrique Casimiro,True,True,,,61256.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,1.5,1.0,Carlos Henrique,2.0,457.0,False,,,55.0,61256.jpg,2.0,False,Casimiro,0.2,False,,a,14.0,1.0,8.0,8461.0,1411.0,13460.0,2576.0,0.4,1.5,Casemiro,30.0,2022-08-22,1992-02-23,False,p61256,197.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38.0,23.8,21.3,15.0,6.0,4.0,10.0,6.0,20.0,3.0,0.62,0.06,0.68,3.38,239.0,107.0,169.0,111.0,194.0,116.0,234.0,118.0,,,,,,,0.28,0.0,0.03,0.31,1.54,1.37,130.0,84.0,190.0,88.0,243.0,118.0,336.0,114.0,1.37,0.0,9.14,Manchester Utd,4.0,25-26,2025-09-19 19:07:10.579391,
1136,Kobbie Mainoo,True,True,,,516895.0,0.0,0.0,-1.0,1.0,0.0,3.0,0.2,0.2,1.0,Kobbie,0.7,458.0,False,,,49.0,516895.jpg,1.0,False,Mainoo,0.5,False,,a,14.0,1.0,2.0,14273.0,2520.0,44858.0,4856.0,0.1,0.4,Mainoo,241.0,2022-10-15,2005-04-19,False,p516895,73.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,39.2,3.0,5.7,0.0,6.0,3.0,9.0,0.0,0.07,0.11,0.18,2.06,278.0,130.0,96.0,70.0,294.0,159.0,242.0,119.0,,,,,,,0.09,0.0,0.14,0.23,2.54,3.7,365.0,228.0,314.0,152.0,340.0,158.0,240.0,82.0,0.0,0.0,11.1,Manchester Utd,4.0,25-26,2025-09-19 19:07:10.579391,
1137,Manuel Ugarte Ribeiro,True,True,,,232112.0,0.0,0.0,-1.0,1.0,0.0,3.0,1.2,1.2,4.0,Manuel,1.7,459.0,False,,,49.0,232112.jpg,2.0,False,Ugarte Ribeiro,0.1,False,,a,14.0,1.0,6.0,5215.0,1286.0,11675.0,1277.0,0.3,1.2,Ugarte,230.0,2024-08-30,2001-04-11,False,p232112,125.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,15.8,21.0,2.0,3.8,5.0,7.0,6.0,18.0,1.0,0.05,0.02,0.07,3.25,271.0,125.0,174.0,113.0,308.0,164.0,289.0,149.0,,,,,,,0.04,0.0,0.01,0.05,2.34,2.88,339.0,210.0,208.0,97.0,230.0,106.0,424.0,144.0,0.72,0.0,12.96,Manchester Utd,4.0,25-26,2025-09-19 19:07:10.579391,
1138,Joshua Zirkzee,True,True,100.0,100.0,458249.0,0.0,0.0,-1.0,1.0,0.0,4.0,0.2,0.2,1.0,Joshua,0.7,466.0,False,,2025-08-10T23:00:06.602693Z,59.0,458249.jpg,1.0,False,Zirkzee,0.4,False,,a,14.0,1.0,2.0,14589.0,3148.0,28296.0,3843.0,0.1,0.3,Zirkzee,152.0,2024-07-17,2001-05-22,False,p458249,69.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.4,15.7,54.0,7.9,2.0,2.0,0.0,4.0,0.0,0.67,0.03,0.7,1.38,322.0,22.0,206.0,17.0,59.0,18.0,197.0,23.0,,,,,,,0.87,0.0,0.04,0.91,1.8,2.61,112.0,29.0,334.0,35.0,377.0,41.0,274.0,47.0,0.0,0.0,5.22,Manchester Utd,4.0,25-26,2025-09-19 19:07:10.579391,
1139,Benjamin Sesko,True,True,,,485711.0,0.0,0.0,-1.0,1.0,0.0,4.0,0.8,0.8,2.0,Benjamin,1.3,681.0,False,,,74.0,485711.jpg,1.2,False,Sesko,5.0,False,,a,14.0,1.0,5.0,199542.0,11806.0,643345.0,71987.0,0.2,0.7,Šeško,195.0,2025-08-09,2003-05-31,False,p485711,159.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.4,30.7,29.0,5.5,0.0,3.0,0.0,3.0,1.0,0.41,0.1,0.51,3.41,378.0,39.0,120.0,10.0,116.0,29.0,248.0,26.0,,,,,,,0.23,0.0,0.06,0.29,1.93,2.26,29.0,12.0,251.0,23.0,300.0,30.0,73.0,13.0,0.57,0.0,1.7,Manchester Utd,4.0,25-26,2025-09-19 19:07:10.579391,
1140,Nick Pope,True,True,,,98747.0,0.0,0.0,0.0,0.0,0.0,1.0,6.2,6.2,8.0,Nick,5.7,469.0,False,,,50.0,98747.jpg,6.5,False,Pope,6.0,False,,a,15.0,4.0,26.0,328071.0,38709.0,125313.0,22019.0,1.1,5.2,Pope,241.0,2022-06-23,1992-04-19,False,p98747,360.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,8.0,3.0,89.0,73.6,0.0,0.0,7.3,3.0,38.0,0.0,0.0,4.0,0.0,0.0,0.0,2.09,80.0,12.0,675.0,80.0,652.0,75.0,206.0,14.0,,,,,,,0.0,2.0,0.0,0.0,0.52,0.75,244.0,9.0,34.0,5.0,20.0,3.0,63.0,10.0,1.0,0.75,0.0,Newcastle Utd,4.0,25-26,2025-09-19 19:07:10.579391,
1141,Fabian Schär,True,True,25.0,100.0,119471.0,0.0,0.0,0.0,0.0,0.0,2.0,1.4,5.5,8.0,Fabian,5.0,474.0,False,Head injury - 25% chance of playing,2025-09-19T11:30:08.392759Z,55.0,119471.jpg,5.8,False,Schär,3.0,False,,d,15.0,4.0,23.0,143651.0,21071.0,118205.0,12283.0,0.9,4.2,Schär,207.0,2018-07-26,1991-12-20,False,p119471,350.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,80.0,25.0,15.0,12.1,31.0,13.0,4.0,35.0,4.0,0.08,0.07,0.15,1.72,62.0,25.0,152.0,37.0,195.0,47.0,117.0,35.0,,,2.0,,4.0,,0.02,0.0,0.02,0.04,0.44,0.51,135.0,16.0,50.0,22.0,40.0,18.0,102.0,41.0,1.03,0.77,9.0,Newcastle Utd,4.0,25-26,2025-09-19 19:07:10.579391,
